d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
DE DIOS MARTINEZ VELGICA	Customer - Direct	The Landmark @ One Market	MEXICO	MX-NL	96559	MX	1301 Hoch Drive	MEXICO	MX-NL	96559	MX	DIMV5801122B8	www.DE DIOS MARTINEZ VELGICA.com	Chemicals	Public	234	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
DE LA TORRE CARDENAS JUAN MANUEL	Customer - Channel	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	22420	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	22420	MX	TOCJ330624T57	www.DE LA TORRE CARDENAS JUAN MANUEL.com	Transportation	Private	456745	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DE LAS FUENTES MARTINEZ JESUS ALBER	Channel Partner / Reseller	1301 Hoch Drive	MEXICO	MX-NL	25000	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	25000	MX	FUMJ780303KD1	www.DE LAS FUENTES MARTINEZ JESUS ALBER.com	Banking	Subsidiary	23	Warm	Commerical logistics and transportation company.						
DE LEON PADILLA VICTORIANO	Installation Partner	2 Place Jussieu	MEXICO	MX-NL	67350	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	67350	MX	LEPV620925U47	www.DE LEON PADILLA VICTORIANO.com	Manufacturing	Private	23	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DE LOS CAMPOS MENONITAS DISTRIBUIDO	Technology Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	31542	MX	2 Place Jussieu	MEXICO	MX-NL	31542	MX	CMD030417JA0	www.DE LOS CAMPOS MENONITAS DISTRIBUIDO.com	Food & Beverage	Other	436	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Deal Partners Limited	Other	"312 Constitution Place
Austin, TX 78767
USA"	Ashford	GB-001	TW15 2RP	AU	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Ashford	GB-001	TW15 2RP	GB	7657311	www.Deal Partners Limited.com	Chemicals	Public	345	Warm	World's third largest oil and gas company.						
DECO CONSTRUCCIONES SA DE CV	Prospect	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	38090	MX	CES081007NE0	MEXICO	MX-NL	38090	MX	DCO090518D61	www.DECO CONSTRUCCIONES SA DE CV.com	Insurance	Other	234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DeeTag USA	Customer - Direct	525 S. Lexington Ave	Chambersburg	PA	17201	US	"345 Shoreline Park
Mountain View, CA 94043
USA"	Chambersburg	PA	17201	US	421770433	www.DeeTag USA.com	Other	Other	52345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DELAMAC DE MEXICO S.A. DE C.V.	Customer - Channel	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	2300	MX	DHE010828K6A	MEXICO	MX-NL	2300	MX	DME800531IP8	www.DELAMAC DE MEXICO S.A. DE C.V..com	Technology	Other	675	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DELGADO CAMPBELL SANTIAGO ALBERTO	Channel Partner / Reseller	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	14370	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	14370	MX	DECS630210CL3	www.DELGADO CAMPBELL SANTIAGO ALBERTO.com	Finance	Subsidiary	1234123	Warm	World's third largest oil and gas company.						
DELGADO TORRES LAURA NELLY	Installation Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-MX	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-MX	0	MX	DETL7912134X5	www.DELGADO TORRES LAURA NELLY.com	Energy	Subsidiary	1234	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
Delice de France Limited	Technology Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Southall	GB-001	UB2 5LJ	GB	1301 Hoch Drive	Southall	GB-001	UB2 5LJ	GB	UB2 5LJ	www.Delice de France Limited.com	Transportation	Private	5134	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DELL COMPUTER DE MEXICO  SA	Other	The Landmark @ One Market	MEXICO	MX-DF	0	MX	DHE010828K6A	MEXICO	MX-DF	0	MX	DCM920409963	www.DELL COMPUTER DE MEXICO  SA.com	Manufacturing	Private	52345234	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DELTA EMPAQUES Y ACCESORIOS INDUSTRIALES SA DE CV	Prospect	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-MX	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-MX	0	MX	DEA060301AF2	www.DELTA EMPAQUES Y ACCESORIOS INDUSTRIALES SA DE CV.com	Food & Beverage	Other	43	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DESARROLLO EMPRESARIAL INTEGRAL	Customer - Direct	1301 Hoch Drive	MEXICO	MX-NL	86280	MX	CES081007NE0	MEXICO	MX-NL	86280	MX	DEI930601561	www.DESARROLLO EMPRESARIAL INTEGRAL.com	Entertainment	Public	52	Cold	Commerical logistics and transportation company.						
Detmold Flexibles Pty Ltd	Customer - Channel	2 Place Jussieu	Port Melbourne	AU-VI	3207	AU	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Port Melbourne	AU-VI	3207	AU	10122012	www.Detmold Flexibles Pty Ltd.com	Retail	Private	4634	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DEX DEL NOROESTE SA DE CV	Channel Partner / Reseller	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	83190	MX	CES081007NE0	MEXICO	MX-NL	83190	MX	DNO010619953	www.DEX DEL NOROESTE SA DE CV.com	Not For Profit	Other	34	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DHANA COSMETICS SA DE CV	Installation Partner	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-DF	14030	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-DF	14030	MX	DCO0708092Z6	www.DHANA COSMETICS SA DE CV.com	Machinery	Public	5234	Warm	World's third largest oil and gas company.						
DIACOB SA DE CV	Technology Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	37297	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	37297	MX	DIA040130AD1	www.DIACOB SA DE CV.com	Construction	Subsidiary	234	Hot	Commerical logistics and transportation company.						
Dickenson plc	Other	1301 Hoch Drive	Lawrence	KS	66045	USA	1301 Hoch Drive	Lawrence	KS	66045	USA	(785) 241-6200	www.Dickenson plc.com	Energy	Subsidiary	120	Cold	Commerical logistics and transportation company.						
Dickinson Frozen Foods Inc	Prospect	525 S. Lexington Ave	Eagle	ID	83616	US	1301 Hoch Drive	Eagle	ID	83616	US	820405157	www.Dickinson Frozen Foods Inc.com	Other	Other	2345	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DIETA ASTERISCOS SA DE CV	Customer - Direct	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MONTERREY	MX-NL	0	MX	1301 Hoch Drive	MONTERREY	MX-NL	0	MX	DAS0303187G8	www.DIETA ASTERISCOS SA DE CV.com	Telecommunications	Public	456745	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
DIGITAL COMPANY MEXICO SA DE CV	Customer - Channel	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	27010	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	27010	MX	DME100521SPA	www.DIGITAL COMPANY MEXICO SA DE CV.com	Telecommunications	Public	8	Warm	World's third largest oil and gas company.						
DIKEN HERMOSILLO SA DE CV	Channel Partner / Reseller	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	85000	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	85000	MX	DHE010828K6A	www.DIKEN HERMOSILLO SA DE CV.com	Consulting	Other	45	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DINAMICA DEL CENTRO SA DE CV	Installation Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	37536	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	37536	MX	DCE101123P70	www.DINAMICA DEL CENTRO SA DE CV.com	Retail	Private	4567	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DIQUISA SA DE CV	Technology Partner	The Landmark @ One Market	MONTERREY	MX-NL	0	MX	2 Place Jussieu	MONTERREY	MX-NL	0	MX	DIQ051125841	www.DIQUISA SA DE CV.com	Banking	Subsidiary	23412341	Hot	World's third largest oil and gas company.						
DIRCIO ROSAS NANCY YANET	Other	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	42808	MX	Test acc 2157	MEXICO	MX-NL	42808	MX	DIRN7304255F2	www.DIRCIO ROSAS NANCY YANET.com	Apparel	Private	1234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DISASCO SA DE CV	Prospect	1301 Hoch Drive	SALTILLO	MX-CA	25208	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	SALTILLO	MX-CA	25208	MX	DIS030923J80	www.DISASCO SA DE CV.com	Agriculture	Public	12341	Warm	Commerical logistics and transportation company.						
DISGAS SA DE CV	Customer - Direct	2 Place Jussieu	MEXICO	MX-NL	91918	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	91918	MX	DIS040622GKA	www.DISGAS SA DE CV.com	Other	Other	412	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DISTRIB Y COMERC KOWALSKY SA DE CV	Customer - Channel	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	BENITO JUAREZ	MX-DF	3020	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	BENITO JUAREZ	MX-DF	3020	MX	DCK110119MW1	www.DISTRIB Y COMERC KOWALSKY SA DE CV.com	Not For Profit	Other	35	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DISTRIBUCION DE MADERA SA DE CV	Channel Partner / Reseller	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	85010	MX	1301 Hoch Drive	MEXICO	MX-NL	85010	MX	DMA0108177Q1	www.DISTRIBUCION DE MADERA SA DE CV.com	Transportation	Private	5134	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DISTRIBUCIONES BIOTECNOLOGICAS SA D	Installation Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	53140	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	53140	MX	DBI0403153XA	www.DISTRIBUCIONES BIOTECNOLOGICAS SA D.com	Shipping	Subsidiary	3456	Cold	World's third largest oil and gas company.						
DISTRIBUIDOR A MEDICOS Y	Technology Partner	525 S. Lexington Ave	MEXICO	MX-NL	91700	MX	Test acc 2157	MEXICO	MX-NL	91700	MX	DMH800220931	www.DISTRIBUIDOR A MEDICOS Y.com	Shipping	Subsidiary	57	Warm	Commerical logistics and transportation company.						
DISTRIBUIDORA DE ACERO ONOX DEL BAJ	Other	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	0	MX	DAI8907045K4	www.DISTRIBUIDORA DE ACERO ONOX DEL BAJ.com	Utilities	Subsidiary	23	Cold	Commerical logistics and transportation company.						
DISTRIBUIDORA DE ALIMENTOS Y TECNOLOGIA SA DE CV	Prospect	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-DF	9000	MX	1301 Hoch Drive	MEXICO	MX-DF	9000	MX	DAT110107J19	www.DISTRIBUIDORA DE ALIMENTOS Y TECNOLOGIA SA DE CV.com	Technology	Other	56745	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DISTRIBUIDORA DE COMBUSTIBLES LAGUN	Customer - Direct	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	27019	MX	DHE010828K6A	MEXICO	MX-NL	27019	MX	DCL010425985	www.DISTRIBUIDORA DE COMBUSTIBLES LAGUN.com	Media	Subsidiary	64356	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
DISTRIBUIDORA DE MAQUINAS Y MUEBLES	Customer - Channel	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	0	MX	Test acc 2157	MEXICO	MX-NL	0	MX	DMM830421BN8	www.DISTRIBUIDORA DE MAQUINAS Y MUEBLES.com	Retail	Private	34	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DISTRIBUIDORA DE SUMINISTROS GENERA	Channel Partner / Reseller	The Landmark @ One Market	MEXICO	MX-NL	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	0	MX	DSG890605KY6	www.DISTRIBUIDORA DE SUMINISTROS GENERA.com	Engineering	Other	23	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DISTRIBUIDORA GRUPO ROSY SA DE CV	Installation Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MIGUEL HIDALGO	MX-DF	11850	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MIGUEL HIDALGO	MX-DF	11850	MX	DGR120706G86	www.DISTRIBUIDORA GRUPO ROSY SA DE CV.com	Education	Public	23	Cold	World's third largest oil and gas company.						
DISTRIBUIDORA INDUSTRIAL DE BALEROS	Technology Partner	1301 Hoch Drive	MEXICO	MX-NL	11320	MX	Test acc 2157	MEXICO	MX-NL	11320	MX	DIB851122N17	www.DISTRIBUIDORA INDUSTRIAL DE BALEROS.com	Communications	Private	12341	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DISTRIBUIDORA MAYORISTA DE TORNILLO	Other	2 Place Jussieu	MEXICO	MX-NL	97288	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	97288	MX	DMT841107DS9	www.DISTRIBUIDORA MAYORISTA DE TORNILLO.com	Recreation	Public	6	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
DISTRIBUIDORA QUIMICA JAG	Prospect	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	0	MX	DQJ9509071XA	www.DISTRIBUIDORA QUIMICA JAG.com	Hospitality	Subsidiary	457	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
DISTRIBUIDORA REGIONAL  S.A. De C.V	Customer - Direct	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	0	MX	DHE010828K6A	MEXICO	MX-NL	0	MX	DRE810328U10	www.DISTRIBUIDORA REGIONAL  S.A. De C.V.com	Government	Public	3	Hot	World's third largest oil and gas company.						
DISTRIBUIDORA RODVAL	Customer - Channel	"345 Shoreline Park
Mountain View, CA 94043
USA"	MONTERREY	MX-NL	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MONTERREY	MX-NL	0	MX	DRO890419H32	www.DISTRIBUIDORA RODVAL.com	Finance	Subsidiary	52	Cold	Commerical logistics and transportation company.						
DISTRIBUIDORA SAJOR SA DE CV	Channel Partner / Reseller	525 S. Lexington Ave	GUADALAJARA	MX-JA	44898	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	GUADALAJARA	MX-JA	44898	MX	DSA8412043D2	www.DISTRIBUIDORA SAJOR SA DE CV.com	Entertainment	Public	45	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
DISTRIBUIDORA TAMEX ERROR	Installation Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	54000	MX	2 Place Jussieu	MEXICO	MX-NL	54000	MX	duplicidad	www.DISTRIBUIDORA TAMEX ERROR.com	Education	Public	235	Warm	Commerical logistics and transportation company.						
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE	Technology Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	AGUASCALIENTES	MX-AG	20050	MX	CES081007NE0	AGUASCALIENTES	MX-AG	20050	MX	DRS110718M19	www.DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE.com	Environmental	Private	234	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
Do not Use1	Other	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Charlotte	NC	22222	US	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Charlotte	NC	22222	US	222222222	www.Do not Use1.com	Communications	Private	12341	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DOFISCAL EDITORES SA DE CV	Prospect	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	6100	MX	2 Place Jussieu	MEXICO	MX-NL	6100	MX	DED790619160	www.DOFISCAL EDITORES SA DE CV.com	Environmental	Private	35234	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
DOMINGUEZ CRUZ FERNANDO	Customer - Direct	The Landmark @ One Market	MEXICO	MX-NL	0	MX	CES081007NE0	MEXICO	MX-NL	0	MX	DOCF740218SW8	www.DOMINGUEZ CRUZ FERNANDO.com	Manufacturing	Private	856	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Dongguan Hexing Metal Tin Box Manufactory	Customer - Channel	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Dongguan	CN-GD	523290	CN	1301 Hoch Drive	Dongguan	CN-GD	523290	CN	(201) 306-0302	www.Dongguan Hexing Metal Tin Box Manufactory.com	Apparel	Private	145000	Warm	World's third largest oil and gas company.						
DONGGUAN JINLIYI INDUSTRIAL CO LTD	Channel Partner / Reseller	1301 Hoch Drive	Dongguan	CN-GD	523450	CH	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Dongguan	CN-GD	523450	CN	80989	www.DONGGUAN JINLIYI INDUSTRIAL CO LTD.com	Finance	Subsidiary	1234123	Warm	World's third largest oil and gas company.						
DONOSTI COMERCIAL S.A. DE C.V.	Installation Partner	2 Place Jussieu	MEXICO	MX-NL	38010	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	38010	MX	DCO930601FZ6	www.DONOSTI COMERCIAL S.A. DE C.V..com	Government	Public	45	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
